Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
OHD14PCD,Loss of Attachment: Upper left 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD14PCM,Loss of Attachment:  Upper left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD14PCS,Loss of Attachment:  Upper left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15CJD,Loss of Attachment: Upper left 2nd molar (2M) distal - FGM to CEJ measurement (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15CJM,Loss of Attachment:  Upper left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15CJS,Loss of Attachment:  Upper left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15LAD,Loss of Attachment:  Upper left 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15LAM,Loss of Attachment:  Upper left 2nd molar (2M) mid-facial - Level of attachment calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15LAS,Loss of Attachment:  Upper left 2nd molar (2M) mesio-facial - Level of attachment calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15PCD,Loss of Attachment: Upper left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15PCM,Loss of Attachment:  Upper left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHD15PCS,Loss of Attachment:  Upper left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm),OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX02BPD,Periodontal bleeding from probing: Upper right 2nd molar-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX02BPM,Periodontal bleeding from probing: Upper right 2nd molar-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX02BPS,Periodontal bleeding from probing: Upper right 2nd molar-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX03BPD,Periodontal bleeding from probing: Upper right 1st molar-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX03BPM,Periodontal bleeding from probing: Upper right 1st molar-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX03BPS,Periodontal bleeding from probing: Upper right 1st molar-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX04BPD,Periodontal bleeding from probing: Upper right 2nd bicuspid-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX04BPM,Periodontal bleeding from probing: Upper right 2nd bicuspid-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX04BPS,Periodontal bleeding from probing: Upper right 2nd bicuspid-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX05BPD,Periodontal bleeding from probing: Upper right 1st bicuspid-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX05BPM,Periodontal bleeding from probing: Upper right 1st bicuspid-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX05BPS,Periodontal bleeding from probing: Upper right 1st bicuspid-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX06BPD,Periodontal bleeding from probing: Upper right cuspid-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX06BPM,Periodontal bleeding from probing: Upper right cuspid-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX06BPS,Periodontal bleeding from probing: Upper right cuspid-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX07BPD,Periodontal bleeding from probing: Upper right lateral incisor-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX07BPM,Periodontal bleeding from probing: Upper right lateral incisor-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX07BPS,Periodontal bleeding from probing: Upper right lateral incisor-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX08BPD,Periodontal bleeding from probing: Upper right central incisor-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX08BPM,Periodontal bleeding from probing: Upper right central incisor-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX08BPS,Periodontal bleeding from probing: Upper right central incisor-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX09BPD,Periodontal bleeding from probing: Upper left central incisor-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX09BPM,Periodontal bleeding from probing: Upper left central incisor-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX09BPS,Periodontal bleeding from probing: Upper left central incisor-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX10BPD,Periodontal bleeding from probing: Upper left lateral incisor-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX10BPM,Periodontal bleeding from probing: Upper left lateral incisor-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX10BPS,Periodontal bleeding from probing: Upper left lateral incisor-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX11BPD,Periodontal bleeding from probing: Upper left cuspid-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX11BPM,Periodontal bleeding from probing: Upper left cuspid-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX11BPS,Periodontal bleeding from probing: Upper left cuspid-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX12BPD,Periodontal bleeding from probing: Upper left 1st bicuspid-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX12BPM,Periodontal bleeding from probing: Upper left 1st bicuspid-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX12BPS,Periodontal bleeding from probing: Upper left 1st bicuspid-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX13BPD,Periodontal bleeding from probing: Upper left 2nd bicuspid-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX13BPM,Periodontal bleeding from probing: Upper left 2nd bicuspid-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX13BPS,Periodontal bleeding from probing: Upper left 2nd bicuspid-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX14BPD,Periodontal bleeding from probing: Upper left 1st molar-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX14BPM,Periodontal bleeding from probing: Upper left 1st molar-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX14BPS,Periodontal bleeding from probing: Upper left 1st molar-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX15BPD,Periodontal bleeding from probing: Upper left 2nd molar-distal site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX15BPM,Periodontal bleeding from probing: Upper left 2nd molar-midfacial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHX15BPS,Periodontal bleeding from probing: Upper left 2nd molar-mesial site,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
SEQN,Respondent sequence number.,OHXPRU_C,Oral Health - Periodontal/Upper,2003,2004,Examination,None
OHAEXSTS,Overall Oral Health Exam Status,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAPOS,Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHARCMT,Other Referral Comments,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAREC,Overall recommendation for care,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHARNF,F. No significant findings,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAROCCI,D. Clinical impression of soft tissue condition,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAROCDE,E. Denture/Partial Denture/plates,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAROCDT,A. Decayed teeth,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAROCGP,B. Gums/gum disease,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAROCOH,C. Oral hygiene,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHAROTH,Some other finding (specify w/ referral letter),OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHASCST5,Referral Status Code,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ011,How would you describe the condition of your  teeth?  Would you say......,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ131,Q1. Has a doctor or dentist ever told you that you must ALWAYS take antibiotics (e.g. penicillin) before you get a dental check up or care?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ132,Q2. A heart problem?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ134,Q3. Congenital heart murmurs?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ136,Q4. Heart valve problem?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ138,Q5. Congenital heart disease?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ140,Q6. Bacterial endocarditis?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ142,Q7. Rheumatic fever?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ144,Q8. Kidney disease requiring renal dialysis?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ146,"Q11. Other artificial material in your heart, veins, or arteries?",OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ148,"Q12. A hip, bone, or joint replacement?",OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ410,Do you have an upper removable partial or full denture?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ420,Do you usually wear it during the day?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ430,Do you have a lower removable partial or full denture?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ440,Do you usually wear it during the day?,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490a,What specific problems do you have with your teeth? -  Toothache,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490b,What specific problems do you have with your teeth? -  Sensitivity,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490c,What specific problems do you have with your teeth? - Cavities/Caries,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490d,What specific problems do you have with your teeth? - Broken/missing fillings or restorations,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490e,What specific problems do you have with your teeth?- Broken / fractured teeth,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490f,What specific problems do you have with your teeth? - Staining/discoloration of teeth,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490g,"What specific problems do you have with your teeth? - Crooked teeth, or teeth that need braces",OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490h,What specific problems do you have with your teeth? - Teeth needing extractions,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490i,What specific problems do you have with your teeth? - Missing teeth,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490j,What specific problems do you have with your teeth? - Denture problems,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490k,What specific problems do you have with your teeth? - Periodontal problems,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490l,Unsatisfactory prior dental experience,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490m,None/no specific problem,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
OHQ490n,Other,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
SEQN,Respondent sequence number.,OHXREF_C,Oral Health - Recommendation of Care,2003,2004,Examination,None
PAXCAL,Was the monitor in calibration?,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
PAXDAY,The day of the week.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
PAXHOUR,The hour of the day for which the intensity value was recorded.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
PAXINTEN,The intensity value recorded by the physical activity monitor.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
PAXMINUT,The minute of the hour for which the intensity value was recorded.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
PAXN,The person-level sequential observation number recorded in the device.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
PAXSTAT,Flag indicating whether or not the data is reliable.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
SEQN,Respondent sequence number.,PAXRAW_C,Physical Activity Monitor,2003,2004,Examination,None
SEQN,Respondent sequence number,VIX_C,Vision,2003,2004,Examination,None
VIDLOVA,The visual acuity with objective refraction of the left eye.,VIX_C,Vision,2003,2004,Examination,None
VIDLVA,The presenting visual acuity of the left eye with usual correction.,VIX_C,Vision,2003,2004,Examination,None
VIDOLFM,The confidence level of the objective refraction reading of the left eye (mean of three measures).,VIX_C,Vision,2003,2004,Examination,None
VIDORFM,The confidence level of the objective refraction reading for the right eye (mean of three measures).,VIX_C,Vision,2003,2004,Examination,None
VIDROVA,The visual acuity with objective refraction of the right eye.,VIX_C,Vision,2003,2004,Examination,None
VIDRVA,The presenting visual acuity of the right eye with usual correction.,VIX_C,Vision,2003,2004,Examination,None
VIQ110,Does SP appear to have a severe eye infection in one or both eyes?,VIX_C,Vision,2003,2004,Examination,None
VIQ121,"if VIQ110 = ""Yes"" record which eye(s) is/are affected.",VIX_C,Vision,2003,2004,Examination,None
VIQ130,Is SP wearing an eye patch?,VIX_C,Vision,2003,2004,Examination,None
VIQ141,"If VIQ130 = ""Yes"" record which eye(s) is/are affected.",VIX_C,Vision,2003,2004,Examination,None
VIQ150,Do you wear glasses or contact lenses for reading or near work?,VIX_C,Vision,2003,2004,Examination,None
VIQ160,"If VIQ150 = ""Yes"", record if the examinee brought their near work glasses, contacts, or a combination of glasses and/or contacts to the testing facility.",VIX_C,Vision,2003,2004,Examination,None
VIQ170,"If VIQ160 = ""Yes"", record whether the examinee wore glasses, contacts, or a combination of glasses and/or contacts for test of near vision.",VIX_C,Vision,2003,2004,Examination,None
VIQ180,Have you ever had eye surgery to treat or prevent nearsightedness or myopia?,VIX_C,Vision,2003,2004,Examination,None
VIQ191,"If VIQ180 = ""Yes"", record which eye(s) was/were operated on.",VIX_C,Vision,2003,2004,Examination,None
VIQ200,Have you ever had eye surgery to treat cataracts?,VIX_C,Vision,2003,2004,Examination,None
VIQ211,"if VIQ200 = ""Yes"", record which eye(s) was/were operated on for cataracts.",VIX_C,Vision,2003,2004,Examination,None
VIQ220,"Do you wear glasses or contact lenses for distance vision, such as when you watch television?",VIX_C,Vision,2003,2004,Examination,None
VIQ230,"If VIQ220 = ""Yes"", record if  examinee brought their distance correction to the testing center.",VIX_C,Vision,2003,2004,Examination,None
VIQ240,"If VIQ230 = ""Yes"", record the type of correction (glasses, contacts, or a combination of glasses and contacts) the SP has with them.",VIX_C,Vision,2003,2004,Examination,None
VIQ250,Did the examiner capture the prescription of the examinee's lens?,VIX_C,Vision,2003,2004,Examination,None
VIXKLCD,Keratometric measure.  Difference in dioptric power between meridians of the cornea in the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLCG,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the steepest meridian of the cornea in the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLD1,Keratometric measure.  Dioptric power in the least power meridian of the cornea in the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLD2,Keratometric measure.  Dioptric power in the meridian of the cornea with the greatest power in the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLDM,Keratometric measure.  Dioptric power of the cornea averaged across meridians in the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLG1,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the least power median of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLG2,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the greatest power meridian of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLM1,Keratometric measure.  Radius of corneal curvature (in mm) in the least power meridian of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLM2,Keratometric measure.  Radius of corneal curvature (in mm) in the greatest power meridian of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKLMM,Keratometric measure.  Radius of corneal curvature (in mm) averaged across meridians in the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRCD,Keratometric measure.  Difference in dioptric power between meridians of the cornea in the examinee's right eye,VIX_C,Vision,2003,2004,Examination,None
VIXKRCG,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the steepest meridian of the cornea in the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRD1,Keratometric measure.  Dioptric power in the least power meridian of the cornea in the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRD2,Keratometric measure.  Dioptric power in the meridian of the cornea with the greatest power in the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRDM,Keratometric measure.  Dioptric power of the cornea averaged across meridians in the examinee's right eye,VIX_C,Vision,2003,2004,Examination,None
VIXKRG1,Keratometric measure. Axis of corneal astigmatism (in degrees) in the least power meridian of the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRG2,Keratometric measure.  Axis of corneal astigmatism (in degrees) in the greatest power meridian of the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRM1,Keratometric measure. Radius of corneal curvature (in mm) in the least power meridian of the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXKRM2,Keratometric measure. Radius of corneal curvature (in mm) in the greatest power  meridian of the examinee's right eye,VIX_C,Vision,2003,2004,Examination,None
VIXKRMM,Keratometric measure.  Radius of corneal curvature (in mm) averaged across meridians in the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXNC1,"The number of the last line the examinee read with one or fewer misses, that is the number of the last line where the examinee read at least four out of the five characters correctly.  Line 1 has the largest print: line 5 has the smallest print.",VIX_C,Vision,2003,2004,Examination,None
VIXNC2,Record to the nearest inch the distance from the center of the card to the examinee's brow.,VIX_C,Vision,2003,2004,Examination,None
VIXOCMT,The examiner can note special circumstances related to a visual acuity test.,VIX_C,Vision,2003,2004,Examination,None
VIXOLAM,Axis of refractive astigmatism (median value of three objective refractions) of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXOLCM,Cylindrical dioptric power (median value of three objective refractions) of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXOLSM,Spherical dioptric power (median value of three objective refractions) of the examinee's left eye.,VIX_C,Vision,2003,2004,Examination,None
VIXORAM,Axis of refractive astigmatism (median value of three objective refractions) of the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXORCM,Cylindrical dioptric power (median value of three objective refractions) of the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXORSM,Spherical dioptric power (median value of three objective refractions) of the examinee's right eye.,VIX_C,Vision,2003,2004,Examination,None
VIXPLA,Prescription of the axis in the left lens used for distance correction.,VIX_C,Vision,2003,2004,Examination,None
VIXPLC,Prescription of the cylinder in the left lens used for distance correction.,VIX_C,Vision,2003,2004,Examination,None
VIXPLS,Prescription of the sphere in the left lens used for distance correction.,VIX_C,Vision,2003,2004,Examination,None
VIXPRA,Prescription of the axis in the right lens used for distance correction,VIX_C,Vision,2003,2004,Examination,None
VIXPRC,Prescription of the cylinder in the right lens used for distance correction,VIX_C,Vision,2003,2004,Examination,None
VIXPRS,The prescription of the sphere in the right lens used for distance correction.,VIX_C,Vision,2003,2004,Examination,None
AUAEAR,Which ear tested first?,AUX_B,Audiometry,2001,2002,Examination,None
AUAEXCMT,Comment code for an Audio Exam,AUX_B,Audiometry,2001,2002,Examination,None
AUAEXSTS,Status of an Audiometry Exam,AUX_B,Audiometry,2001,2002,Examination,None
AUAFMANL,Frequency at Which Switched From Auto to Manual Audio Testing (Left),AUX_B,Audiometry,2001,2002,Examination,None
AUAFMANR,Frequency at Which Switched From Auto to Manual Audio Testing (Right),AUX_B,Audiometry,2001,2002,Examination,None
AUALEQC,Left Ear Quality Code,AUX_B,Audiometry,2001,2002,Examination,None
AUAMODE,Mode of Audiometric Test (Manual/Automatic/Mixed),AUX_B,Audiometry,2001,2002,Examination,None
AUAREQC,Right Ear Quality Code,AUX_B,Audiometry,2001,2002,Examination,None
AUDLOABC,"Other Exam Abnormality, Left, Comment",AUX_B,Audiometry,2001,2002,Examination,None
AUDROABC,"Other Exam Abnormality, Right, Comment",AUX_B,Audiometry,2001,2002,Examination,None
AUQ010,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))",AUX_B,Audiometry,2001,2002,Examination,None
AUQ020,"Have you had a cold, sinus problem, or earache in the last 24 hours?",AUX_B,Audiometry,2001,2002,Examination,None
AUQ020A,Have you had a cold in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020B,Have you had a sinus problem in the last 24 hours,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020C,Have you had an earache in the right ear in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020D,Have you had an earache in left ear in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020E,Have you had an earache in both ears in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ030,Have you been exposed to loud noise or listened to music with headphones in the past 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ040,How many hours ago did the noise or music end?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ050,Do you hear better in one ear than the other?,AUX_B,Audiometry,2001,2002,Examination,None
AUXLOABN,"Other Exam Abnormality, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXLOCOL,"Collapsing Ear Canal, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXLOEXC,"Excessive Cerumen, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXLOIMC,"Impacted Cerumen, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXOTSPL,Normal:  Left Ear Otoscopy,AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K1L,Left retest threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K1R,Right retest threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K2L,"Left retest threshold @ 1000Hz, second reading in decibels (Hearing Level)",AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K2R,"Right retest threshold @ 1000Hz, second reading (db)",AUX_B,Audiometry,2001,2002,Examination,None
AUXR2KL,Left retest threshold @ 2000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR2KR,Right retest threshold @ 2000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR3KL,Left retest threshold @ 3000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR3KR,Right retest threshold @ 3000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR4KL,Left retest threshold @ 4000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR4KR,Right retest threshold @ 4000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR5CL,Left retest threshold @ 500Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR5CR,Right retest threshold @ 500Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR6KL,Left retest threshold @ 6000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR6KR,Right retest threshold @ 6000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR8KL,Left retest threshold @ 8000Hzin decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR8KR,Right retest threshold @ 8000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXROABN,"Other Exam Abnormality, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROCOL,"Collapsing Ear Canal, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROEXC,"Excessive Cerumen, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROIMC,"Impacted Cerumen, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROTSP,Normal:  Right Ear Otoscopy,AUX_B,Audiometry,2001,2002,Examination,None
AUXTCOML,"Compliance (tympanometry), left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTCOMR,"Compliance (tympanometry), right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTMEPL,"Middle ear pressure (tympanometry), left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTMEPR,"Middle ear pressure (tympanometry), right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTPVL,"Physical volume (tympanometry), left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTPVR,"Physical volume (tympanometry), right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTWIDL,"Tympanometric width, left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTWIDR,"Tympanometric width, right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K1L,Left threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K1R,Right threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K2L,Left threshold @ 1000Hz (second reading)in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
